datetime,open,high,low,close,median,MA365,MA182,MA121,MA30,MA14,MA7,MA3,dMed%,d365%,d182%,d121%,d30%,d14%,d7%,d3%,a365,a182,a121,a30,a14,a7,a3,aMed,fastAvg,slowAvg,spread,spreadVel,orderScore,s14_30,s7_30,longBelow,longAbove,cluster%,vel%,acc%,vol%,cluPct,velPct,accPct,volPct,crossMA365,crossMA182,crossMA121,crossMA30,crossMA14,crossMA7,crossMA3,crossMed,MA3_7,MA7_14,MA14_30,MA30_121,MA121_182,MA182_365
2009.12.31 00:00,1.43365,1.44398,1.43059,1.43306,1.43481,1.39436,1.45361,1.47173,1.45747,1.43281,1.43481,1.43384,-0.1221,2.7754,-1.4138,-2.6277,-1.6751,0.0176,-0.1221,-0.0544,1,0,0,0,1,0,0,0,1.43382,1.43990,-0.006081,-0.001200,0,0,0,0,0,1.2128,0.0475,0.0171,0.0489,0.012,0.063,0.131,0.282,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2010.01.04 00:00,1.43259,1.44543,1.42569,1.44111,1.43596,1.39455,1.45397,1.47195,1.45445,1.43342,1.43596,1.43592,0.3588,3.3388,-0.8842,-2.0955,-0.9172,0.5363,0.3588,0.3612,1,0,0,0,1,1,1,1,1.43510,1.44016,-0.005056,0.001026,0,0,0,0,0,1.1588,0.0510,0.0167,0.0469,0.004,0.067,0.131,0.258,0,0,0,0,0,1,1,1,0,1,0,0,1,1
2010.01.05 00:00,1.44107,1.44830,1.43467,1.43624,1.43680,1.39483,1.45426,1.47207,1.45134,1.43369,1.43577,1.43680,-0.0392,2.9687,-1.2392,-2.4341,-1.0404,0.1776,0.0325,-0.0392,1,0,0,0,1,1,0,0,1.43542,1.44039,-0.004965,0.000091,2,0,0,0,0,1.1272,0.0618,0.0123,0.0330,0.004,0.083,0.091,0.143,0,0,0,0,0,0,-1,-1,1,1,0,0,1,1
2010.01.06 00:00,1.43632,1.44338,1.42831,1.43998,1.43911,1.39518,1.45459,1.47224,1.44838,1.43495,1.43680,1.43911,0.0605,3.2110,-1.0044,-2.1910,-0.5797,0.3504,0.2215,0.0605,1,0,0,0,1,1,1,1,1.43695,1.44067,-0.003715,0.001249,2,0,0,0,0,1.0748,0.0760,0.0255,0.0246,0.004,0.095,0.198,0.099,0,0,0,0,0,0,1,1,1,1,0,0,1,1
2010.01.07 00:00,1.44001,1.44456,1.42994,1.43041,1.43616,1.39543,1.45488,1.47225,1.44587,1.43546,1.43616,1.43554,-0.4004,2.5067,-1.6823,-2.8417,-1.0691,-0.3519,-0.4004,-0.3576,1,0,0,0,0,0,0,0,1.43572,1.44085,-0.005132,-0.001417,0,0,0,0,0,1.0600,0.0460,0.0253,0.0188,0.004,0.063,0.198,0.008,0,0,0,0,-1,-1,-1,-1,0,1,0,0,1,1
2010.01.08 00:00,1.43039,1.44263,1.42634,1.44085,1.43772,1.39570,1.45530,1.47233,1.44397,1.43626,1.43772,1.43708,0.2178,3.2347,-0.9927,-2.1379,-0.2159,0.3192,0.2178,0.2623,1,0,0,0,1,1,1,1,1.43702,1.44111,-0.004088,0.001044,0,0,0,0,0,1.0189,0.1159,0.0402,0.0237,0.004,0.135,0.258,0.079,0,0,0,0,1,1,1,1,0,1,0,0,1,1
2010.01.11 00:00,1.44125,1.45545,1.44121,1.45120,1.44082,1.39610,1.45567,1.47235,1.44310,1.43785,1.43974,1.44082,0.7204,3.9463,-0.3072,-1.4364,0.5615,0.9287,0.7963,0.7204,1,0,0,1,1,1,1,1,1.43947,1.44138,-0.001908,0.002180,2,0,0,0,0,0.9660,0.1173,0.0362,0.0433,0.004,0.139,0.238,0.230,0,0,0,1,0,0,0,0,1,1,0,0,1,1
2010.01.12 00:00,1.45128,1.45448,1.44537,1.44920,1.44233,1.39654,1.45610,1.47227,1.44197,1.43905,1.44233,1.44708,0.4765,3.7707,-0.4739,-1.5667,0.5012,0.7053,0.4765,0.1463,1,0,0,1,1,1,1,1,1.44282,1.44164,0.001185,0.003093,2,0,1,0,0,0.9695,0.1264,0.1672,0.0519,0.008,0.151,0.675,0.341,0,0,0,0,0,0,0,0,1,1,0,0,1,1
2010.01.13 00:00,1.44918,1.45785,1.44561,1.45052,1.44444,1.39705,1.45650,1.47218,1.44094,1.44062,1.44444,1.45031,0.4212,3.8271,-0.4105,-1.4714,0.6647,0.6874,0.4212,0.0147,1,0,0,1,1,1,1,1,1.44512,1.44191,0.003209,0.002024,2,0,1,0,0,0.9927,0.1342,0.2753,0.0590,0.012,0.171,0.813,0.484,0,0,0,0,0,0,0,0,1,1,0,0,1,1
2010.01.14 00:00,1.45105,1.45547,1.44478,1.44978,1.44831,1.39757,1.45690,1.47210,1.44041,1.44223,1.44831,1.44983,0.1015,3.7358,-0.4889,-1.5161,0.6502,0.5231,0.1015,-0.0037,1,0,0,1,1,1,0,1,1.44679,1.44219,0.004602,0.001393,4,1,1,0,0,0.9727,0.1532,0.4261,0.0683,0.012,0.202,0.881,0.603,0,0,0,0,0,0,-1,0,1,1,1,0,1,1
